lang;language;family;fam;
az;Azerbaijani;Turkic (Oghuz);Oghuz;
sw;Swahili;Niger-Congo;NigerCongo;
af;Afrikaans;Indo-European (Germanic);Germanic;
ar;Arabic;Afro-Asiatic;AfroAsiatic;
ba;Bashkir;Turkic (Kipchak);Kipchak;
be;Belarusian;Slavic;Slavic;
bxr;Buryat;Mongolic;Mongolic;
bg;Bulgarian;Slavic;Slavic;
bn;Bengali;Indo-European  (Indo-Aryan);IndoAryan;
cv;Chuvash;Turkic (Oghuz);Oghuz;
hy;Armenian;Indo-European (Armenian);Armenian;
da;Danish;Indo-European (Germanic);Germanic;
de;German;Indo-European (Germanic);Germanic;
el;Greek;Indo-European  (Greek);Greek;
es;Spanish;Indo-European (Romance);Romance;
eu;Basque;Basque;Basque;
fa;Persian;Indo-European  (Iranian);Iranian;
fi;Finnish;Uralic;Uralic;
fr;French;Indo-European (Romance);Romance;
he;Hebrew;Afro-Asiatic;AfroAsiatic;
hi;Hindi;Indo-European  (Indo-Aryan);IndoAryan;
hu;Hungarian;Uralic;Uralic;
kk;Kazakh;Turkic (Kipchak);Kipchak;
id;Indonesian;Austronesian;Austronesian;
it;Italian;Indo-European (Romance);Romance;
ja;Japanese;Japonic;Japonic;
ka;Georgian;Kartvelian;Kartvelian;
ky;Kyrgyz;Turkic (Kipchak);Kipchak;
ko;Korean;Koreanic;Koreanic;
lt;Lithuanian;Baltic;Baltic;
lv;Latvian;Baltic;Baltic;
mn;Mongolian;Mongolic;Mongolic;
ml;Malayalam;Dravidian;Dravidian;
os;Ossetian;Indo-European  (Iranian);Iranian;
mr;Marathi;Indo-European  (Indo-Aryan);IndoAryan;
ms;Malay;Austronesian;Austronesian;
my;Burmese;Sino-Tibetan;SinoTibetan;
nl;Dutch;Indo-European (Germanic);Germanic;
ro;Romanian;Indo-European (Romance);Romance;
pl;Polish;Slavic;Slavic;
pt;Portuguese;Indo-European (Romance);Romance;
sah;Yakut;Turkic (Siberian);Siberian;
ru;Russian;Slavic;Slavic;
tg;Tajik;Indo-European  (Iranian);Iranian;
sv;Swedish;Indo-European (Germanic);Germanic;
ta;Tamil;Dravidian;Dravidian;
te;Telugu;Dravidian;Dravidian;
tk;Turkmen;Turkic (Oghuz);Oghuz;
th;Thai;Kra-Dai;KraDai;
tr;Turkish;Turkic (Oghuz);Oghuz;
tl;Tagalog;Austronesian;Austronesian;
tt;Tatar;Turkic (Kipchak);Kipchak;
tyv;Tuvinian;Turkic (Siberian);Siberian;
uk;Ukrainian;Slavic;Slavic;
en;English;Indo-European (Germanic);Germanic;
ur;Urdu;Indo-European  (Indo-Aryan);IndoAryan;
vi;Vietnamese;Austro-Asiatic;AustroAsiatic;
uz;Uzbek;Turkic (Karluk);Karluk;
yo;Yoruba;Niger-Congo;NigerCongo;
zh;Chinese;Sino-Tibetan;SinoTibetan;
xal;Kalmyk;Mongolic;Mongolic;
